Product,Website,Category,Link,Target Price,Currency,Priority,Notes
Wallpaper Engine,Steam,Game,https://store.steampowered.com/app/431960/Wallpaper_Engine/,,ILS,3,
Beltmatic,Steam,Game,https://store.steampowered.com/app/2674590/Beltmatic/,,ILS,3,
Two Point Museum,Steam,Game,https://store.steampowered.com/app/2185060/Two_Point_Museum/,,ILS,3,
Two Point Campus,Steam,Game,https://store.steampowered.com/app/1649080/Two_Point_Campus/,,ILS,3,
Two Point Hospital,Steam,Game,https://store.steampowered.com/app/535930/Two_Point_Hospital/,,ILS,3,
Project Hospital,Steam,Game,https://store.steampowered.com/app/868360/Project_Hospital/,,ILS,3,
Plague Inc: Evolved,Steam,Game,https://store.steampowered.com/app/246620/Plague_Inc_Evolved/,,ILS,3,
Lords of the Realm II,Steam,Game,https://store.steampowered.com/app/397350/Lords_of_the_Realm_II/,,ILS,3,
Caesar 3,Steam,Game,https://store.steampowered.com/app/517790/Caesar_3/,,ILS,3,
Terra Nil,Steam,Game,https://store.steampowered.com/app/1593030/Terra_Nil/,,ILS,3,
Kingdoms and Castles,Steam,Game,https://store.steampowered.com/app/569480/Kingdoms_and_Castles/,,ILS,3,
Sid Meier's Civilization: Beyond Earth,Steam,Game,https://store.steampowered.com/app/65980/Sid_Meiers_Civilization_Beyond_Earth/,,ILS,3,
Planet Coaster 2,Steam,Game,https://store.steampowered.com/app/2688950/Planet_Coaster_2/,,ILS,3,
Tower Dominion,Steam,Game,https://store.steampowered.com/app/3226530/Tower_Dominion/,,ILS,3,
Infection Free Zone,Steam,Game,https://store.steampowered.com/app/1465460/Infection_Free_Zone/,,ILS,3,
Train Station Project,Steam,Game,https://store.steampowered.com/app/2681560/Train_Station_Project/,,ILS,3,
Motorsport Manager,Steam,Game,https://store.steampowered.com/app/415200/Motorsport_Manager/,,ILS,3,
Flotsam,Steam,Game,https://store.steampowered.com/app/821250/Flotsam/,,ILS,3,
Dawn Of Defense,Steam,Game,https://store.steampowered.com/app/2781660/Dawn_Of_Defense/,,ILS,3,
Canvas of Kings,Steam,Game,https://store.steampowered.com/app/2498570/Canvas_of_Kings/,,ILS,3,
Wyldheart,Steam,Game,https://store.steampowered.com/app/3642910/Wyldheart/,,ILS,3,
Tavern Keeper,Steam,Game,https://store.steampowered.com/app/436780/Tavern_Keeper/,,ILS,3,
THE LIFT: Supernatural Handyman Simulator,Steam,Game,https://store.steampowered.com/app/3283240/THE_LIFT_Supernatural_Handyman_Simulator/,,ILS,3,
